"Data Source","World Development Indicators",

"Last Updated Date","2024-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"World","WLD","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.895435062","11.189339946","11.514790966","11.841388142","11.824276287","11.599457345","11.238308235","11.014385193","10.947203252","10.765960068","11.0110549839413","11.1499515203785","11.1233265099687","10.8431164321744","10.4153336593803","10.1140954039187","9.96870289189314","9.66226994950126","9.71630073232799","9.67129533255953","9.67448065144861","9.77532308051983","9.8559211622607","9.7547509568494","9.79131939602512","9.62308526381426","9.67285483422929","9.63740392459714","9.39793764708272","9.02414372986408","9.13447039015946","","","",
"World","WLD","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"World","WLD","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"World","WLD","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","28.7637403283737","29.7012403236369","31.103818524467","31.4183294141209","33.5189200548874","35.0988790671065","35.1786844631074","34.8673708502636","34.0427729248201","34.7111123447486","35.4917558872655","35.5078355080855","35.6337822591277","36.3349538695352","35.7026876551241","29.8546589578999","30.3987305275801","29.726996619785","29.1829871007304","28.8012425033372","27.4444005371747","28.5959028926586","28.3459181443667","28.4510615474948","27.6564772785823","25.988034918842","25.6843892629822","26.3825815462038","25.7138807490108","25.5705901375078","25.6818827937829","26.0602653677122","25.3785839570551","25.4899582775309","25.773728427628","25.2325037199853","25.0527222930932","24.5354626242154","12.4926846532307","11.0342318756339","16.1905844760888","20.0479218775158",
"World","WLD","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","187752741253.303","217982702509.014","263971333025.914","320616659340.837","381683638366.806","390776010469.931","385367674295.232","375857113143.442","388465986462.751","405938747961.195","475715400540.571","559621077834.329","624232848939.608","679657188973.065","825790937945.919","866738643739.639","978749737608.713","985446284196.099","1076225277022.21","1234741015544.74","1326411198842.58","1427594034575.24","1451779567157.97","1559900530458.89","1672738021029.29","1671187133503.61","1785142584901.35","1970271774130.93","2402132991987.54","2657194400982.47","2997857111178.36","3590701605279.58","4056493910336.66","3631146167179.53","3982098687377.22","4497141830147.77","4638609796650.53","4966052194131.95","5283414114358.28","5038508709871.28","5125215180311.2","5588019120212.82","6122339647503.66","6304491908848.36","5256552325762.46","6311113812671.67","7260249423991.36","7870818162424.59",
"World","WLD","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","100524119000","106155923000","110129885000","120978773000","138987535000","150434567000","167231004000","177079024000","200915778000","228084521636","265106647455","291161116545","349556561000","488554062000","701516953182","727996805727","836180368182","951542788182","1109846046182","1413094348925.1","1706331134779.27","1751846642602.27","1623758232930.43","1573964416427.17","1675566178119.18","1700002471629.45","1845331553703.38","2174415467002.17","2499017348778.62","2705877304587.02","3108316464519.25","3206922631030.33","3490524934468.44","3495921266583.73","4002473123096.37","4777216670047.29","4997870777919.27","5401117103559.34","5282465876177.99","5539544614646.77","6332293096872","6107232861011","6407813600173","7491723518773","9061482578345","10307623964875","11872833483935","13747847658506","15968388420044","12194661017287","14937526036588","17849744544049","18032885517558","18412118337296","18494653929897","16114816138743","15552487077746","17181276826263","18948281805549","18429024117996","17029510891718","","","",
"World","WLD","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","3.93258457704066","3.4917769025474","2.9742480889724","2.85040169815576","2.71350520749936","2.69291963993887","2.60861975091652","2.37644352501062","2.40548405312399","2.42652239630383","2.28247803594858","2.44348870632952","2.45710478882987","2.60147750035491","3.4404891985181","5.05726958008197","4.33105396611243","4.42502055850235","4.36653535566616","3.48714382340492","3.78545835587004","4.61719242591089","4.50919249622708","4.35196069571852","3.78244075062866","3.31201009065105","2.6845483554065","2.22293033223648","2.11968012103756","2.01054358370783","2.08884940823372","2.04739077507833","2.01917447357701","1.86833857324445","1.57257060673997","1.48690824132653","1.48114723517144","1.48280683992109","1.52866761125768","1.42309011382725","1.38884939522846","1.56708713122749","1.63017838601266","1.64630750697004","1.77518274074064","1.74840098498088","1.68311209505626","1.87441052714577","2.18459990238037","2.48490910310204","2.35114621349454","1.97278871657802","2.09870358406873","2.08092298571587","2.15784171281448","2.03728913932001","2.0514325433038","1.97343380058761","1.85307395080103","1.80111504277577","1.7015529125967","","","",
"World","WLD","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","18.2814792935415","17.5834635246872","16.4182365213584","15.9323842704207","15.8686913902027","15.5526435623004","15.5055637888773","15.1517471657174","14.6001654484298","13.8336406055447","13.5633826406045","13.8257317727309","12.8344428357046","12.929402478287","14.8943864472641","17.0181614844145","14.6110709661397","14.4999950305556","14.6650574248484","13.5027180718167","15.1060602846389","16.6227250061407","15.8305864001076","14.8628943712467","14.1195734660822","13.9895482688645","12.3806784999709","11.6764180873493","11.8927183138589","11.7332730182343","11.7002118362593","12.3319878146929","13.6065284644705","15.6702237820687","15.4368738633318","15.6027479586932","16.0965741266767","16.2636205706866","15.2119576558653","14.4566554871962","15.6658073951761","15.982915046331","16.293558760383","17.0571214204965","17.7989518224354","18.4788114688475","19.1989131448555","20.1043947759046","21.2718767088247","22.1056364407391","23.7525589571487","24.3082624345769","25.0712020080425","25.314530852752","25.2113471503436","24.6986390114189","24.3656146489414","25.3574569053353","25.3887931488235","25.2105131170137","24.7651190861568","","","",
"World","WLD","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","6.70390837649677","7.0659534680609","7.21187719443138","7.22447506862974","7.05151484054445","6.96600657233687","6.68877366057296","6.99616969095667","5.74130056835774","5.40662276732434","5.51257882085395","6.07858478730032","5.31305625245561","5.13225683780585","4.91744396763143","4.56628624314699","4.78503281038927","5.40219964852333","4.3821006174541","4.07846822511423","5.31843457370295","3.90491466454607","3.5919517462901","3.3635091665657","3.63299149428655","","","","5.45497531175522","4.42836994831802","3.95801665761173","2.89933180544629","3.33184417521734","3.22917792209881","3.2943642557936","3.24034459413528","3.11577270253849","3.03819909121097","2.97809968725912","2.79055526240161","2.80645582479595","3.21304159881068","3.41711251569311","4.1107085751783","4.27249113124113","3.99006391057823","3.49212406986153","4.25857489647919","4.43387504381882","4.02968165797622","3.86216404564936","3.86812042770982","3.71861894997901","3.53946779096543","3.73147077812761","3.75534891066469","3.77525722218857","4.27824589896362","4.84416109529805","4.21376360209408","4.03464794199701",
"World","WLD","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","5.66970920761993","4.76769132326799","4.74836658776324","4.85196974700352","5.06019805025881","7.10375990439921","7.10011929540702","6.14418265182178","6.53592507747945","7.48718897212873","7.12450230980131","10.7607877229064","11.4940765982846","11.0871866117051","10.5531037815882","12.5849380558089","13.7975680793493","12.7594138007305","14.0919388548796","14.5029827157597","13.1865795684942","14.407662101189","15.5310692636475","8.8365641578731","8.49548732642316","","","","9.59193894364175","7.97080756610011","7.62285286571668","6.94195153325442","6.67650302902327","8.35152410199821","7.26453894106597","7.60805246216234","9.54370041985175","11.3909417904888","11.2413071827819","10.290661691965","10.2749434382225","10.8498961139026","11.7526250008782","12.7459430552238","12.3831159623317","14.1629197370871","12.304627212248","13.4893125231267","14.4859670602985","14.0416716669271","14.526031927176","13.8852809688915","11.4020470242142","10.3241299424714","11.2015758015442","12.6420944074116","12.3813422901843","10.1614129576368","11.858756785847","13.201573746035","11.4595018590878",
